metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# hits	
mmetsp98	Clustering-based subsystems	Cytochrome biogenesis	CBSS-196164.1.peg.461	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	1	-19	64.18	67	1	
mmetsp992	Clustering-based subsystems	Cytochrome biogenesis	CBSS-196164.1.peg.461	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	1	-19	64.18	67	1	
mmetsp1002	Clustering-based subsystems	Cytochrome biogenesis	CBSS-196164.1.peg.461	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	1	-19	64.18	67	1	
mmetsp1433	Clustering-based subsystems	DNA polymerase III epsilon cluster	CBSS-342610.3.peg.1536	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	2	-12.5	61.47	54.5	2	
QPX_v15	Clustering-based subsystems	DNA polymerase III epsilon cluster	CBSS-342610.3.peg.1536	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	2	-19	61.56	69	2	
mmetsp98	Clustering-based subsystems	DNA polymerase III epsilon cluster	CBSS-342610.3.peg.1536	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	2	-12.5	61.47	54.5	2	
mmetsp992	Clustering-based subsystems	DNA polymerase III epsilon cluster	CBSS-342610.3.peg.1536	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	2	-12.5	61.47	54.5	2	
mmetsp1002	Clustering-based subsystems	DNA polymerase III epsilon cluster	CBSS-342610.3.peg.1536	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	2	-12.5	61.47	54.5	2	
mmetsp1433	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	3	-31.33	66.32	99.67	3	
QPX_v15	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	2	-33.5	65.25	108	2	
mmetsp98	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	2	-42.5	65.39	127.5	2	
mmetsp992	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	2	-42.5	65.39	127.5	2	
mmetsp1002	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	2	-42.5	65.39	127.5	2	
mmetsp1433	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	4	-10.5	62.55	53.5	4	
QPX_v15	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	3	-12.33	61.78	59	3	
mmetsp98	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	3	-10.67	63.06	51.67	3	
mmetsp992	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	5	-14	62.41	62.2	5	
mmetsp1002	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	5	-14	62.41	62.2	5	
mmetsp1433	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	4	-10.5	62.55	53.5	4	
QPX_v15	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	3	-12.33	61.78	59	3	
mmetsp98	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	3	-10.67	63.06	51.67	3	
mmetsp992	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	5	-14	62.41	62.2	5	
mmetsp1002	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	5	-14	62.41	62.2	5	
mmetsp1433	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	1	-63	73.08	156	1	
QPX_v15	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	1	-63	73.08	156	1	
mmetsp98	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	1	-63	73.08	156	1	
mmetsp992	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	1	-63	73.08	156	1	
mmetsp1002	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	1	-63	73.08	156	1	
mmetsp1433	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Acyl carrier protein	1	-15	71.19	59	1	
QPX_v15	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Acyl carrier protein	1	-15	71.19	59	1	
mmetsp98	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Acyl carrier protein	1	-15	71.19	59	1	
mmetsp992	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Acyl carrier protein	1	-15	71.19	59	1	
mmetsp1002	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Acyl carrier protein	1	-15	71.19	59	1	
mmetsp1433	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	1	-6	69.44	36	1	
mmetsp98	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	1	-6	69.44	36	1	
mmetsp992	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	1	-6	69.44	36	1	
mmetsp1002	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	2	-8.5	63.17	47	2	
mmetsp1002	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Ribonuclease E (EC 3.1.26.12)	1	-5	79.17	24	1	
mmetsp1433	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Thymidylate kinase (EC 2.7.4.9)	1	-36	60.68	117	1	
mmetsp98	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Thymidylate kinase (EC 2.7.4.9)	1	-36	60.68	117	1	
mmetsp992	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Thymidylate kinase (EC 2.7.4.9)	1	-36	60.68	117	1	
mmetsp1002	Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	Thymidylate kinase (EC 2.7.4.9)	1	-36	60.68	117	1	
mmetsp1433	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase	Dihydroorotate dehydrogenase (EC 1.3.3.1)	1	-44	67.67	133	1	
QPX_v15	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase	Dihydroorotate dehydrogenase (EC 1.3.3.1)	1	-44	67.67	133	1	
mmetsp98	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase	Dihydroorotate dehydrogenase (EC 1.3.3.1)	1	-44	67.67	133	1	
mmetsp992	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase	Dihydroorotate dehydrogenase (EC 1.3.3.1)	1	-44	67.67	133	1	
mmetsp1002	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase	Dihydroorotate dehydrogenase (EC 1.3.3.1)	1	-44	67.67	133	1	
mmetsp1433	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase	FIG005495: hypothetical protein	1	-8	68.42	38	1	
QPX_v15	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase	FIG005495: hypothetical protein	1	-8	68.42	38	1	
mmetsp98	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase	FIG005495: hypothetical protein	1	-8	68.42	38	1	
mmetsp992	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase	FIG005495: hypothetical protein	1	-8	68.42	38	1	
mmetsp1433	Clustering-based subsystems	Hypothetical in Lysine biosynthetic cluster	CBSS-323850.3.peg.3269	Diaminopimelate decarboxylase (EC 4.1.1.20)	1	-26	62.77	94	1	
QPX_v15	Clustering-based subsystems	Hypothetical in Lysine biosynthetic cluster	CBSS-323850.3.peg.3269	Diaminopimelate decarboxylase (EC 4.1.1.20)	2	-20.5	66.84	74.5	2	
mmetsp98	Clustering-based subsystems	Hypothetical in Lysine biosynthetic cluster	CBSS-323850.3.peg.3269	Diaminopimelate decarboxylase (EC 4.1.1.20)	2	-20.5	66.84	74.5	2	
mmetsp992	Clustering-based subsystems	Hypothetical in Lysine biosynthetic cluster	CBSS-323850.3.peg.3269	Diaminopimelate decarboxylase (EC 4.1.1.20)	1	-15	70.91	55	1	
mmetsp1002	Clustering-based subsystems	Hypothetical in Lysine biosynthetic cluster	CBSS-323850.3.peg.3269	Diaminopimelate decarboxylase (EC 4.1.1.20)	2	-20.5	66.84	74.5	2	
mmetsp1433	Clustering-based subsystems	Hypothetical lipase related to Phosphatidate metabolism	CBSS-316407.3.peg.1371	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	1	-9	72.97	37	1	
mmetsp98	Clustering-based subsystems	Hypothetical lipase related to Phosphatidate metabolism	CBSS-316407.3.peg.1371	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	1	-9	72.97	37	1	
mmetsp992	Clustering-based subsystems	Hypothetical lipase related to Phosphatidate metabolism	CBSS-316407.3.peg.1371	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	1	-9	72.97	37	1	
mmetsp1002	Clustering-based subsystems	Hypothetical lipase related to Phosphatidate metabolism	CBSS-316407.3.peg.1371	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	1	-9	72.97	37	1	
mmetsp1433	Clustering-based subsystems	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	CBSS-257314.1.peg.488	Alanyl-tRNA synthetase (EC 6.1.1.7)	2	-60.5	68.86	158	2	
QPX_v15	Clustering-based subsystems	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	CBSS-257314.1.peg.488	Alanyl-tRNA synthetase (EC 6.1.1.7)	1	-51	67.61	142	1	
mmetsp98	Clustering-based subsystems	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	CBSS-257314.1.peg.488	Alanyl-tRNA synthetase (EC 6.1.1.7)	1	-51	67.61	142	1	
mmetsp992	Clustering-based subsystems	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	CBSS-257314.1.peg.488	Alanyl-tRNA synthetase (EC 6.1.1.7)	2	-16	61.48	74.5	2	
QPX_v15	Clustering-based subsystems	Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	CBSS-83331.1.peg.3039	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	1	-20	61.84	76	1	
mmetsp1433	Clustering-based subsystems	Lysine, threonine, methionine, and cysteine	CBSS-84588.1.peg.1247	Cysteine desulfurase (EC 2.8.1.7)	4	-47.25	69.86	131.25	4	
QPX_v15	Clustering-based subsystems	Lysine, threonine, methionine, and cysteine	CBSS-84588.1.peg.1247	Cysteine desulfurase (EC 2.8.1.7)	2	-80.5	65.74	212	2	
mmetsp98	Clustering-based subsystems	Lysine, threonine, methionine, and cysteine	CBSS-84588.1.peg.1247	Cysteine desulfurase (EC 2.8.1.7)	4	-47.25	69.86	131.25	4	
mmetsp1002	Clustering-based subsystems	Lysine, threonine, methionine, and cysteine	CBSS-84588.1.peg.1247	Cysteine desulfurase (EC 2.8.1.7)	5	-36.8	70.66	104.8	5	
mmetsp1433	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-128.5	74.97	299.5	2	
QPX_v15	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-128.5	74.97	299.5	2	
mmetsp98	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-128.5	74.97	299.5	2	
mmetsp992	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-51	67.29	143	2	
mmetsp1002	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-95.5	71.47	229	2	
mmetsp1433	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Sarcosine oxidase beta subunit (EC 1.5.3.1)	1	-14	64.41	59	1	
QPX_v15	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Sarcosine oxidase beta subunit (EC 1.5.3.1)	2	-17.5	61.03	72	2	
mmetsp98	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Sarcosine oxidase beta subunit (EC 1.5.3.1)	1	-14	64.41	59	1	
mmetsp992	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Sarcosine oxidase beta subunit (EC 1.5.3.1)	1	-14	64.41	59	1	
mmetsp1002	Clustering-based subsystems	Methylamine utilization	Glutamate-mediated methylamine utilization pathway	Sarcosine oxidase beta subunit (EC 1.5.3.1)	1	-14	64.41	59	1	
mmetsp1433	Clustering-based subsystems	Nucleotidyl-phosphate metabolic cluster	CBSS-222523.1.peg.1311	Adenylate cyclase	5	-6.2	65.74	39	4	
QPX_v15	Clustering-based subsystems	Nucleotidyl-phosphate metabolic cluster	CBSS-222523.1.peg.1311	Adenylate cyclase	5	-10.4	61.38	52	5	
mmetsp98	Clustering-based subsystems	Nucleotidyl-phosphate metabolic cluster	CBSS-222523.1.peg.1311	Adenylate cyclase	4	-6.8	62.63	42	4	
mmetsp992	Clustering-based subsystems	Nucleotidyl-phosphate metabolic cluster	CBSS-222523.1.peg.1311	Adenylate cyclase	3	-8	61.64	47	3	
mmetsp1002	Clustering-based subsystems	Nucleotidyl-phosphate metabolic cluster	CBSS-222523.1.peg.1311	Adenylate cyclase	5	-6.8	64.85	41.2	5	
QPX_v15	Clustering-based subsystems	Nucleotidyl-phosphate metabolic cluster	CBSS-222523.1.peg.1311	Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type	1	-5	62.16	37	1	
mmetsp1002	Clustering-based subsystems	Nucleotidyl-phosphate metabolic cluster	CBSS-222523.1.peg.1311	Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type	1	-5	62.16	37	1	
mmetsp1433	Clustering-based subsystems	Probably Ybbk-related hypothetical membrane proteins	CBSS-316057.3.peg.659	Putative stomatin/prohibitin-family membrane protease subunit YbbK	1	-61	61.41	184	1	
QPX_v15	Clustering-based subsystems	Probably Ybbk-related hypothetical membrane proteins	CBSS-316057.3.peg.659	Putative stomatin/prohibitin-family membrane protease subunit YbbK	3	-36.33	68.95	107	3	
mmetsp98	Clustering-based subsystems	Probably Ybbk-related hypothetical membrane proteins	CBSS-316057.3.peg.659	Putative stomatin/prohibitin-family membrane protease subunit YbbK	2	-68	66.27	189	2	
mmetsp992	Clustering-based subsystems	Probably Ybbk-related hypothetical membrane proteins	CBSS-316057.3.peg.659	Putative stomatin/prohibitin-family membrane protease subunit YbbK	2	-60.5	64.58	178	2	
mmetsp1002	Clustering-based subsystems	Probably Ybbk-related hypothetical membrane proteins	CBSS-316057.3.peg.659	Putative stomatin/prohibitin-family membrane protease subunit YbbK	2	-65	66.83	182	2	
mmetsp1433	Clustering-based subsystems	Probably organic hydroperoxide resistance related hypothetical protein	CBSS-269482.1.peg.1294	Homoserine kinase (EC 2.7.1.39)	1	-6	73.33	30	1	
mmetsp992	Clustering-based subsystems	Probably organic hydroperoxide resistance related hypothetical protein	CBSS-269482.1.peg.1294	Homoserine kinase (EC 2.7.1.39)	1	-6	73.33	30	1	
mmetsp1002	Clustering-based subsystems	Probably organic hydroperoxide resistance related hypothetical protein	CBSS-269482.1.peg.1294	Homoserine kinase (EC 2.7.1.39)	1	-6	73.33	30	1	
mmetsp1433	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	LSU ribosomal protein L15e	2	-78	75.87	176.5	2	
QPX_v15	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	LSU ribosomal protein L15e	1	-74	73.56	174	1	
mmetsp98	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	LSU ribosomal protein L15e	2	-77.5	76.33	175.5	2	
mmetsp992	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	LSU ribosomal protein L15e	1	-71	74.1	166	1	
mmetsp1002	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	LSU ribosomal protein L15e	1	-74	73.41	173	1	
mmetsp1433	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	LSU ribosomal protein L37Ae	1	-7	83.87	31	1	
mmetsp98	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	LSU ribosomal protein L37Ae	2	-12.5	82.58	40.5	2	
mmetsp992	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	LSU ribosomal protein L37Ae	3	-7	83.8	30.67	2	
mmetsp1002	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	LSU ribosomal protein L37Ae	2	-7	83.77	30.5	2	
mmetsp1433	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	Shwachman-Bodian-Diamond syndrome protein	1	-49	61.84	152	1	
QPX_v15	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	Shwachman-Bodian-Diamond syndrome protein	1	-49	61.84	152	1	
mmetsp98	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	Shwachman-Bodian-Diamond syndrome protein	1	-49	61.84	152	1	
mmetsp1002	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster	Shwachman-Bodian-Diamond syndrome protein	1	-24	60	90	1	
mmetsp1433	Clustering-based subsystems	Putrescine/GABA utilization cluster-temporal,to add to SSs	GABA and putrescine metabolism from cluters	D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	1	-15	80.43	46	1	
mmetsp98	Clustering-based subsystems	Putrescine/GABA utilization cluster-temporal,to add to SSs	GABA and putrescine metabolism from cluters	D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	1	-14	80	45	1	
mmetsp992	Clustering-based subsystems	Putrescine/GABA utilization cluster-temporal,to add to SSs	GABA and putrescine metabolism from cluters	D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	1	-15	80.43	46	1	
mmetsp1433	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	Pyruvate kinase (EC 2.7.1.40)	4	-55.5	71.66	152.75	4	
QPX_v15	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	Pyruvate kinase (EC 2.7.1.40)	4	-55.5	71.66	152.75	4	
mmetsp98	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	Pyruvate kinase (EC 2.7.1.40)	4	-55.5	71.66	152.75	4	
mmetsp992	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	Pyruvate kinase (EC 2.7.1.40)	3	-30	68.03	92	3	
mmetsp1002	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	Pyruvate kinase (EC 2.7.1.40)	2	-42.5	72.57	118.5	2	
mmetsp1433	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	putative esterase	1	-13	71.43	49	1	
QPX_v15	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	putative esterase	1	-5	80.77	26	1	
mmetsp98	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	putative esterase	2	-9	76.1	37.5	1	
mmetsp992	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	putative esterase	1	-5	80.77	26	1	
mmetsp1433	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	1	-27	65.17	89	1	
mmetsp98	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	1	-13	64.41	59	1	
mmetsp992	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	1	-27	65.17	89	1	
mmetsp1433	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Peptide chain release factor 1	1	-50	62.67	150	1	
mmetsp992	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Peptide chain release factor 1	1	-50	62.67	150	1	
mmetsp1002	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Peptide chain release factor 1	1	-50	62.67	150	1	
mmetsp1433	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	1	-8	63.04	46	1	
mmetsp98	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	1	-8	63.04	46	1	
mmetsp992	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	1	-8	63.04	46	1	
mmetsp1002	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	1	-8	63.04	46	1	
mmetsp1433	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	2	-20.5	60.47	74.5	2	
QPX_v15	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	3	-23	63.28	84.33	3	
mmetsp98	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	2	-20.5	60.47	74.5	2	
mmetsp992	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	2	-20	61.91	71.5	2	
mmetsp1002	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	2	-20	61.91	71.5	2	
mmetsp1433	Clustering-based subsystems	Sarcosine oxidase	Sarcosine oxidase subunits	Sarcosine oxidase beta subunit (EC 1.5.3.1)	1	-14	64.41	59	1	
QPX_v15	Clustering-based subsystems	Sarcosine oxidase	Sarcosine oxidase subunits	Sarcosine oxidase beta subunit (EC 1.5.3.1)	2	-17.5	61.03	72	2	
mmetsp98	Clustering-based subsystems	Sarcosine oxidase	Sarcosine oxidase subunits	Sarcosine oxidase beta subunit (EC 1.5.3.1)	1	-14	64.41	59	1	
mmetsp992	Clustering-based subsystems	Sarcosine oxidase	Sarcosine oxidase subunits	Sarcosine oxidase beta subunit (EC 1.5.3.1)	1	-14	64.41	59	1	
mmetsp1002	Clustering-based subsystems	Sarcosine oxidase	Sarcosine oxidase subunits	Sarcosine oxidase beta subunit (EC 1.5.3.1)	1	-14	64.41	59	1	
mmetsp1433	Clustering-based subsystems	Shiga toxin cluster	CBSS-194948.1.peg.143	P protein	2	-14	62.16	64	2	
QPX_v15	Clustering-based subsystems	Shiga toxin cluster	CBSS-194948.1.peg.143	P protein	1	-10	68.89	45	1	
mmetsp98	Clustering-based subsystems	Shiga toxin cluster	CBSS-194948.1.peg.143	P protein	2	-14	62.16	64	2	
mmetsp992	Clustering-based subsystems	Shiga toxin cluster	CBSS-194948.1.peg.143	P protein	2	-14	62.16	64	2	
mmetsp1002	Clustering-based subsystems	Shiga toxin cluster	CBSS-194948.1.peg.143	P protein	3	-46	64.85	130	3	
mmetsp1433	Clustering-based subsystems	Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	Sulfatases and sulfatase modifying factor 1	Arylsulfatase (EC 3.1.6.1)	3	-8	68.6	41.33	3	
QPX_v15	Clustering-based subsystems	Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	Sulfatases and sulfatase modifying factor 1	Arylsulfatase (EC 3.1.6.1)	6	-7.5	64.34	41	6	
mmetsp98	Clustering-based subsystems	Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	Sulfatases and sulfatase modifying factor 1	Arylsulfatase (EC 3.1.6.1)	4	-8	65.58	41	4	
mmetsp992	Clustering-based subsystems	Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	Sulfatases and sulfatase modifying factor 1	Arylsulfatase (EC 3.1.6.1)	3	-7	62.99	40.33	3	
QPX_v15	Clustering-based subsystems	Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	Sulfatases and sulfatase modifying factor 1	Choline-sulfatase (EC 3.1.6.6)	6	-8.5	60.71	48.33	6	
mmetsp1002	Clustering-based subsystems	Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	Sulfatases and sulfatase modifying factor 1	Choline-sulfatase (EC 3.1.6.6)	3	-10.75	60.74	53.5	3	
mmetsp1433	Clustering-based subsystems	Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	Sulfatases and sulfatase modifying factor 1	Sulfatase	2	-23	60.62	77.5	2	
